Source	Target	Strength
Lachnospiraceae	Bacteroidaceae	-0.000318503226298798
Lachnospiraceae	Verrucomicrobiaceae	0.000475845636120537
Lachnospiraceae	Ruminococcaceae	-0.000158784558477654
Lachnospiraceae	Unclassified	-0.000447099345370139
Lachnospiraceae	Oxalobacteraceae	0.000498031456962454
Lachnospiraceae	Eubacteriaceae	2.82991441427712e-06
Lachnospiraceae	Enterobacteriaceae	3.80373398588844e-05
Lachnospiraceae	Nitrosomonadaceae	-0.000243933582701478
Bacteroidaceae	Lachnospiraceae	2.82589633764148e-05
Bacteroidaceae	Verrucomicrobiaceae	0.000647329136488575
Bacteroidaceae	Ruminococcaceae	-0.000168244743605183
Bacteroidaceae	Unclassified	-0.000382125577792546
Bacteroidaceae	Oxalobacteraceae	0.000277005441197399
Bacteroidaceae	Eubacteriaceae	-6.05162823635409e-05
Bacteroidaceae	Enterobacteriaceae	0.000222835871844081
Bacteroidaceae	Nitrosomonadaceae	-0.000240935192232026
Verrucomicrobiaceae	Lachnospiraceae	7.39872963757334e-05
Verrucomicrobiaceae	Bacteroidaceae	-0.000260934943859368
Verrucomicrobiaceae	Ruminococcaceae	9.59940677180529e-05
Verrucomicrobiaceae	Unclassified	-0.000381733074673618
Verrucomicrobiaceae	Oxalobacteraceae	0.000148921767200569
Verrucomicrobiaceae	Eubacteriaceae	5.40693676130145e-05
Verrucomicrobiaceae	Enterobacteriaceae	-4.98661783853694e-05
Verrucomicrobiaceae	Nitrosomonadaceae	-0.000241755589269934
Ruminococcaceae	Lachnospiraceae	0.000299009438526228
Ruminococcaceae	Bacteroidaceae	-0.000361346320720465
Ruminococcaceae	Verrucomicrobiaceae	0.000646655015386929
Ruminococcaceae	Unclassified	-0.000102609208584827
Ruminococcaceae	Oxalobacteraceae	4.74938680494723e-05
Ruminococcaceae	Eubacteriaceae	0.000152092892605619
Ruminococcaceae	Enterobacteriaceae	0.00011211457067088
Ruminococcaceae	Nitrosomonadaceae	-0.000146362133539267
Unclassified	Lachnospiraceae	0.000158468421662771
Unclassified	Bacteroidaceae	-0.00040556584882032
Unclassified	Verrucomicrobiaceae	-0.00161636633038358
Unclassified	Ruminococcaceae	0.000132008968078095
Unclassified	Oxalobacteraceae	0.00100900102692584
Unclassified	Eubacteriaceae	-0.000277033104202836
Unclassified	Enterobacteriaceae	0.000117637175570175
Unclassified	Nitrosomonadaceae	-6.16973389041495e-05
Oxalobacteraceae	Lachnospiraceae	0.000133637071219953
Oxalobacteraceae	Bacteroidaceae	-0.000297504607505919
Oxalobacteraceae	Verrucomicrobiaceae	-9.23038742218202e-05
Oxalobacteraceae	Ruminococcaceae	0.000378529995943989
Oxalobacteraceae	Unclassified	-0.000333236012992728
Oxalobacteraceae	Eubacteriaceae	0.000289041496554498
Oxalobacteraceae	Enterobacteriaceae	0.000167570602040236
Oxalobacteraceae	Nitrosomonadaceae	0.000771622251032471
Eubacteriaceae	Lachnospiraceae	0.000527159501424101
Eubacteriaceae	Bacteroidaceae	-0.00010098238564649
Eubacteriaceae	Verrucomicrobiaceae	-0.00257280253812416
Eubacteriaceae	Ruminococcaceae	-0.000314992191268782
Eubacteriaceae	Unclassified	-0.000959553750646386
Eubacteriaceae	Oxalobacteraceae	0.00136078058994152
Eubacteriaceae	Enterobacteriaceae	0.00188031128154653
Eubacteriaceae	Nitrosomonadaceae	0.00201950046879402
Enterobacteriaceae	Lachnospiraceae	9.36507423969659e-05
Enterobacteriaceae	Bacteroidaceae	-0.000344306175566771
Enterobacteriaceae	Verrucomicrobiaceae	0.000734980378713666
Enterobacteriaceae	Ruminococcaceae	-0.000182389845278243
Enterobacteriaceae	Unclassified	-0.000497998860926481
Enterobacteriaceae	Oxalobacteraceae	0.000310403099873262
Enterobacteriaceae	Eubacteriaceae	0.000547693675552187
Enterobacteriaceae	Nitrosomonadaceae	-0.000148947290731623
Nitrosomonadaceae	Lachnospiraceae	2.84138809479792e-05
Nitrosomonadaceae	Bacteroidaceae	-4.51797154280251e-05
Nitrosomonadaceae	Verrucomicrobiaceae	-0.000442099990083674
Nitrosomonadaceae	Ruminococcaceae	0.000499908822589864
Nitrosomonadaceae	Unclassified	-0.000986999213225204
Nitrosomonadaceae	Oxalobacteraceae	0.00234962039777331
Nitrosomonadaceae	Eubacteriaceae	0.000985294638015885
Nitrosomonadaceae	Enterobacteriaceae	0.000942423600261865
