Source	Target	Strength
Sphingomonadaceae	Prevotellaceae	33.373607972009
Sphingomonadaceae	Corynebacteriaceae	32.6052160744384
Sphingomonadaceae	Nitrosomonadaceae	-29.8059723289018
Sphingomonadaceae	Verrucomicrobiaceae	25.3609586021431
Sphingomonadaceae	Enterobacteriaceae	23.026019508447
Amoebophilaceae	Prevotellaceae	20.4346565396929
Amoebophilaceae	Corynebacteriaceae	18.9379718715774
Sphingomonadaceae	Clostridiales Family XI. Incertae Sedis	18.5464338351175
Amoebophilaceae	Nitrosomonadaceae	-17.4763858121077
Sphingomonadaceae	Campylobacteraceae	15.5837869726136
Amoebophilaceae	Verrucomicrobiaceae	15.5588252543008
Sphingomonadaceae	Fusobacteriaceae	14.7366360374156
Amoebophilaceae	Enterobacteriaceae	12.4816574186641
Sphingomonadaceae	Clostridiaceae	12.2216884652843
Amoebophilaceae	Clostridiales Family XI. Incertae Sedis	11.2300390744772
Sphingomonadaceae	Erysipelotrichaceae	-10.0130623400452
Sphingomonadaceae	Staphylococcaceae	9.85082425418941
Amoebophilaceae	Campylobacteraceae	9.35027218355261
Amoebophilaceae	Fusobacteriaceae	8.79029802889369
Sphingomonadaceae	Bacillaceae	-8.02608844293104
Sphingomonadaceae	Veillonellaceae	7.87050632118979
Nocardioidaceae	Prevotellaceae	7.52788743427552
Amoebophilaceae	Clostridiaceae	7.33301307915736
Sphingomonadaceae	Lactobacillaceae	6.89480845864072
Nocardioidaceae	Corynebacteriaceae	6.40017107522521
Sphingomonadaceae	Ruminococcaceae	-6.38250570974493
Amoebophilaceae	Erysipelotrichaceae	-6.00742557430009
Amoebophilaceae	Staphylococcaceae	5.83353385157582
Nocardioidaceae	Verrucomicrobiaceae	5.56270357842248
Sphingomonadaceae	Unclassified	-5.15151480289979
Amoebophilaceae	Bacillaceae	-4.81565306574964
Amoebophilaceae	Veillonellaceae	4.72230379270674
Nocardioidaceae	Clostridiales Family XI. Incertae Sedis	4.22236683766649
Sphingomonadaceae	Sphingobacteriaceae	4.13472680961345
Amoebophilaceae	Ruminococcaceae	-3.84914249243093
Amoebophilaceae	Lactobacillaceae	3.82009760233101
Sphingomonadaceae	Chlorobiaceae	-3.46103698980159
Nocardioidaceae	Enterobacteriaceae	3.42160121500765
Mycobacteriaceae	Verrucomicrobiaceae	3.30917046029969
Amoebophilaceae	Unclassified	-3.22983230183922
Nocardioidaceae	Campylobacteraceae	3.15117450111264
Nocardioidaceae	Fusobacteriaceae	3.03142145103402
Enterococcaceae	Porphyromonadaceae	-2.58703145873382
Nocardioidaceae	Clostridiaceae	2.56562385028235
Amoebophilaceae	Sphingobacteriaceae	2.48083608576359
Enterococcaceae	Desulfovibrionaceae	2.38456453897605
Nocardioidaceae	Erysipelotrichaceae	-2.23143405353831
Burkholderiaceae	Oxalobacteraceae	-2.15315398798258
Enterococcaceae	Prevotellaceae	-2.13295796216168
Nocardioidaceae	Staphylococcaceae	2.07983871486807
Amoebophilaceae	Chlorobiaceae	-2.07651796584175
Mycobacteriaceae	Enterobacteriaceae	2.02362790269512
Burkholderiaceae	Chromatiaceae	2.01223797477177
Pseudomonadaceae	Porphyromonadaceae	-1.9797466926368
Pseudomonadaceae	Prevotellaceae	-1.83796609791225
Sphingomonadaceae	Enterococcaceae	1.83058226940376
Sphingomonadaceae	Burkholderiaceae	-1.82805323333612
Burkholderiaceae	Porphyromonadaceae	1.75630077714503
Nocardioidaceae	Veillonellaceae	1.65006657651172
Mycobacteriaceae	Desulfovibrionaceae	1.64519754318613
Nocardioidaceae	Bacillaceae	-1.60521768858574
Burkholderiaceae	Nitrosomonadaceae	-1.56686296412403
Burkholderiaceae	Streptococcaceae	-1.49748238522942
Mycobacteriaceae	Prevotellaceae	1.48778989220496
Comamonadaceae	Pasteurellaceae	1.42989553703122
Nocardioidaceae	Ruminococcaceae	-1.38001848167653
Mycobacteriaceae	Nitrosomonadaceae	-1.355062905729
Comamonadaceae	Porphyromonadaceae	-1.33990190474917
Nocardioidaceae	Unclassified	-1.3059238811769
Enterococcaceae	Peptostreptococcaceae	1.24813787887077
Burkholderiaceae	Enterobacteriaceae	1.24442954077877
Enterococcaceae	Nitrosomonadaceae	1.24244874508543
Mycobacteriaceae	Chromatiaceae	1.21077251520478
Comamonadaceae	Chromatiaceae	-1.18413536425143
Pseudomonadaceae	Enterobacteriaceae	-1.14090555346584
Nocardioidaceae	Lactobacillaceae	1.12631925350014
Amoebophilaceae	Enterococcaceae	1.10412942759528
Amoebophilaceae	Burkholderiaceae	-1.09683193999965
Enterococcaceae	Fusobacteriaceae	-1.07709881636884
Mycobacteriaceae	Oxalobacteraceae	1.06366788167473
Enterococcaceae	Rikenellaceae	-1.04434287718268
Micrococcaceae	Nitrosomonadaceae	1.00137090516702
Nocardioidaceae	Bacteroidaceae	0.996727735635623
Pseudomonadaceae	Clostridiaceae	-0.990835940037716
Pseudomonadaceae	Streptococcaceae	0.97863435524798
Mycobacteriaceae	Pasteurellaceae	-0.957850765437777
Nocardioidaceae	Sphingobacteriaceae	0.950364015421032
Burkholderiaceae	Verrucomicrobiaceae	-0.947115614143689
Dermacoccaceae	Nitrosomonadaceae	-0.943731440929897
Pseudomonadaceae	Rikenellaceae	-0.943139726787856
Pseudomonadaceae	Fusobacteriaceae	-0.925109553846682
Pseudomonadaceae	Pasteurellaceae	0.922253563038217
Enterococcaceae	Oxalobacteraceae	-0.921965533075678
Enterococcaceae	Aerococcaceae	0.915950263356635
Nocardioidaceae	Chlorobiaceae	-0.911179880116666
Enterococcaceae	Clostridiales Family XI. Incertae Sedis	-0.878722656829188
Pseudomonadaceae	Clostridiales Family XI. Incertae Sedis	-0.859713414084819
